Be7_Inj	Be7_Rec	Be7_RMS	pep_Inj	pep_Rec	pep_RMS	Bi210_Inj	Bi210_Rec	Bi210_RMS	K40_Inj	K40_Rec	K40_RMS	Kr85_Inj	Kr85_Rec	Kr85_RMS	U238_Inj	U238_Rec	U238_RMS	Th232_Inj	Th232_Rec	Th232_RMS	Po210_Inj	Po210_Rec	Po210_RMS	CNO_Inj	CNO_Rec	CNO_RMS	C10_2_Inj	C10_2_Rec	C10_2_RMS	He6_2_Inj	He6_2_Rec	He6_2_RMS	C11_Inj	C11_Rec	C11_RMS	C11_2_Inj	C11_2_Rec	C11_2_RMS	Chi2NDF
48.9772	49.0152	0.22643	2.79724	2.82935	0.181908	120.307	120.428	1.17329	22.9011	22.8779	0.0915667	50.0044	49.7333	0.508397	150.471	150.222	0.170322	35.0907	34.9495	0.0856872	122.123	122.196	0.0375254	5.02419	5.47079	1.90617	3.69963	6.24841	3.4157	2.80051	2.61191	0.296012	19.1757	19.1835	0.0419876	593.969	594.05	0.149562	43907
49.0209	48.9174	0.222472	2.79062	2.94772	0.177321	120.314	120.578	1.13475	22.9013	22.9793	0.0912159	50.012	50.7453	0.508743	150.458	150.401	0.171983	35.0785	35.0169	0.0853371	122.074	122.03	0.0375753	5.03216	4.46203	1.81749	3.70516	10.8949	3.36475	2.7938	2.49907	0.296474	19.1621	19.1534	0.0423101	594.033	594.055	0.150253	44034.1
48.9838	48.8736	0.222625	2.80521	2.42792	0.176413	120.287	118.028	1.14831	22.911	23.0039	0.0913249	49.9944	49.3359	0.505256	150.489	150.768	0.170483	35.0682	35.0218	0.0844519	122.094	122.082	0.0376287	5.0166	8.48732	1.8365	3.69905	7.55252	3.38361	2.79962	2.87042	0.29697	19.1577	19.1006	0.0422915	593.97	593.854	0.150682	44151.6
48.9641	48.7088	0.228745	2.79994	2.52048	0.195594	120.253	119.089	1.26885	22.8984	22.985	0.0913404	49.9886	50.1488	0.527041	150.534	150.625	0.171776	35.0912	35.0495	0.0853344	122.104	122.089	0.0375326	5.02696	7.00347	2.04209	3.69696	4.36235e-12	1.03604	2.79827	2.91315	0.290949	19.1754	19.1604	0.0437356	593.957	593.924	0.150562	44177.2
48.9897	49.0819	0.223929	2.80057	2.91221	0.177572	120.304	121.094	1.13557	22.9041	22.7782	0.0912504	49.9982	49.747	0.506641	150.497	150.543	0.171722	35.0811	35.0186	0.0851386	122.142	122.162	0.0376147	5.02824	3.89141	1.81413	3.69985	4.23447	3.35966	2.79921	2.62863	0.297238	19.1688	19.2248	0.0424126	593.968	594.06	0.15056	44047.8
49.003	49.04	0.223229	2.79455	2.67714	0.178145	120.279	118.753	1.15097	22.8986	22.9051	0.0908776	49.9876	49.4647	0.507882	150.519	150.331	0.170922	35.0886	35.1042	0.0849975	122.102	122.112	0.0376069	5.03724	7.50118	1.84461	3.69945	4.60343	3.25475	2.79757	2.46628	0.294837	19.1717	19.1144	0.0422837	594.001	594.118	0.149034	44077.7
49.0179	49.1282	0.23415	2.79887	2.82002	0.210931	120.244	120.45	1.38589	22.9031	22.7726	0.0916045	49.9788	50.732	0.545198	150.465	150.34	0.172051	35.0517	35.1719	0.0855157	122.093	122.061	0.0375253	5.02839	4.61289	2.23423	3.69868	0.811078	3.29425	2.79588	2.72901	0.296514	19.1704	19.1927	0.0452419	593.988	594.027	0.151288	44002.2
49.0454	48.9075	0.230244	2.80082	2.69121	0.199995	120.3	119.67	1.30277	22.889	22.9672	0.0913364	50.0209	49.4107	0.532102	150.513	150.555	0.171889	35.0842	35.167	0.085354	122.109	122.152	0.0375223	5.03447	5.96608	2.09789	3.70031	1.60491e-07	12.1391	2.79841	2.95661	0.291301	19.1658	19.1121	0.0441341	594.021	593.883	0.150776	43974.7
48.9865	48.9335	0.223935	2.79922	2.73496	0.180223	120.337	119.091	1.16065	22.9017	22.8086	0.0915297	50.0246	49.7165	0.508762	150.462	150.608	0.171511	35.0773	34.9682	0.085456	122.1	122.121	0.0375781	5.02057	7.0332	1.87563	3.7044	5.62264	3.3762	2.8035	3.01545	0.296625	19.1594	19.1446	0.0423458	593.972	593.863	0.150202	43982.1
48.9955	49.0841	0.223182	2.80355	2.86142	0.177877	120.326	120.355	1.14066	22.9088	22.9618	0.0913405	49.9729	50.0244	0.506031	150.532	150.376	0.172208	35.0848	35.0701	0.0852151	122.085	122.092	0.0375513	5.02416	4.93899	1.82784	3.6976	5.5475	3.36395	2.79849	2.72267	0.296923	19.1563	19.1547	0.0423167	593.896	593.841	0.149984	43975.1
